review_id,order_id,rating,review_text,review_date,is_rating_missing
REV0001,ORD00955,1.0,"Ordered this over a week late, wouldn't order again.",2026-07-03,False
REV0002,ORD00542,4.0,Fast shipping and item was well packaged.,2025-08-21,False
REV0003,ORD00209,3.0,"It's okay, does the job.",2025-04-14,False
REV0004,ORD00147,3.0,"Average product, nothing special.",2025-12-11,False
REV0005,ORD00914,5.0,"Exceeded expectations, will be ordering more.",2025-06-23,False
REV0006,ORD00016,4.0,"Exceeded expectations, will be ordering more.",2026-07-04,False
REV0007,ORD00067,4.0,"Nice product, good value for the price.",2026-04-09,False
REV0008,ORD00208,,"Item never arrived on time, very disappointing.",2026-03-09,True
REV0009,ORD00725,5.0,Fast shipping and item was well packaged.,2026-04-08,False
REV0010,ORD00377,3.0,"Fine for the price, packaging could be better.",2025-12-11,False
REV0011,ORD00977,4.0,"Nice product, good value for the price.",2026-07-02,False
REV0012,ORD00853,2.0,"Ordered this over a week late, wouldn't order again.",2025-10-27,False
REV0013,ORD00576,4.0,"Nice product, good value for the price.",2025-05-24,False
REV0014,ORD00243,5.0,"Great quality, arrived as expected, would buy again!",2026-07-03,False
REV0015,ORD00676,5.0,"Great quality, arrived as expected, would buy again!",2026-03-31,False
REV0016,ORD00816,4.0,"Nice product, good value for the price.",2026-02-04,False
REV0017,ORD00795,2.0,"Fine for the price, packaging could be better.",2025-12-31,False
REV0018,ORD00846,4.0,"Nice product, good value for the price.",2026-02-11,False
REV0019,ORD00354,5.0,"Really happy with this purchase, exactly as described.",2026-05-27,False
REV0020,ORD00070,5.0,"Exceeded expectations, will be ordering more.",2025-10-27,False
REV0021,ORD00609,5.0,Fast shipping and item was well packaged.,2026-01-14,False
REV0022,ORD00419,4.0,"Nice product, good value for the price.",2025-07-21,False
REV0023,ORD00393,,Package was late and support was slow to respond.,2026-06-18,True
REV0024,ORD00202,5.0,"Really happy with this purchase, exactly as described.",2025-12-13,False
REV0025,ORD00171,3.0,"Fine for the price, packaging could be better.",2026-06-03,False
REV0026,ORD00723,2.0,"Delivery took way longer than promised, not happy.",2026-07-04,False
REV0027,ORD00105,4.0,"Exceeded expectations, will be ordering more.",2026-01-02,False
REV0028,ORD00408,1.0,"Still waiting past the promised date, frustrating experience.",2026-05-14,False
REV0029,ORD00652,5.0,"Really happy with this purchase, exactly as described.",2026-04-06,False
REV0030,ORD00855,5.0,"Great quality, arrived as expected, would buy again!",2025-12-02,False
REV0031,ORD00789,2.0,"Not as described, quality was poor.",2025-10-21,False
REV0032,ORD00021,5.0,Fast shipping and item was well packaged.,2025-08-29,False
REV0033,ORD00972,4.0,"Really happy with this purchase, exactly as described.",2026-04-05,False
REV0034,ORD00726,5.0,"Nice product, good value for the price.",2026-07-06,False
REV0035,ORD00270,2.0,"Average product, nothing special.",2025-10-16,False
REV0036,ORD00463,3.0,"Average product, nothing special.",2026-07-12,False
REV0037,ORD00418,4.0,Fast shipping and item was well packaged.,2026-02-20,False
REV0038,ORD00443,1.0,"Ordered this over a week late, wouldn't order again.",2026-06-24,False
REV0039,ORD00513,5.0,"Great quality, arrived as expected, would buy again!",2025-04-18,False
REV0040,ORD00643,3.0,"Fine for the price, packaging could be better.",2026-06-30,False
REV0041,ORD00176,1.0,"Fine for the price, packaging could be better.",2025-08-20,False
REV0042,ORD00797,4.0,"Really happy with this purchase, exactly as described.",2026-06-16,False
REV0043,ORD00069,4.0,"Great quality, arrived as expected, would buy again!",2026-02-28,False
REV0044,ORD00583,2.0,"Item never arrived on time, very disappointing.",2026-04-08,False
REV0045,ORD00039,3.0,"It's okay, does the job.",2025-12-03,False
REV0046,ORD00953,1.0,"It's okay, does the job.",2026-04-13,False
REV0047,ORD00831,,"Exceeded expectations, will be ordering more.",2025-04-12,True
REV0048,ORD00307,5.0,Fast shipping and item was well packaged.,2026-01-14,False
REV0049,ORD00801,5.0,Fast shipping and item was well packaged.,2026-04-29,False
REV0050,ORD00237,5.0,"Nice product, good value for the price.",2026-06-26,False
REV0051,ORD00102,5.0,"Great quality, arrived as expected, would buy again!",2026-07-08,False
REV0052,ORD00663,5.0,"Exceeded expectations, will be ordering more.",2026-02-12,False
REV0053,ORD00988,5.0,"Really happy with this purchase, exactly as described.",2026-05-08,False
REV0054,ORD00498,,Package was late and support was slow to respond.,2026-03-11,True
REV0055,ORD00693,5.0,"Exceeded expectations, will be ordering more.",2026-02-02,False
REV0056,ORD00242,5.0,"Great quality, arrived as expected, would buy again!",2025-07-14,False
REV0057,ORD00802,5.0,"Great quality, arrived as expected, would buy again!",2026-03-28,False
REV0058,ORD00397,1.0,Item arrived damaged.,2025-11-21,False
REV0059,ORD00680,5.0,"Great quality, arrived as expected, would buy again!",2026-05-01,False
REV0060,ORD00570,5.0,Fast shipping and item was well packaged.,2025-10-26,False
REV0061,ORD00611,4.0,"Really happy with this purchase, exactly as described.",2026-01-17,False
REV0062,ORD00488,3.0,"Fine for the price, packaging could be better.",2026-06-13,False
REV0063,ORD00201,4.0,"Nice product, good value for the price.",2026-06-16,False
REV0064,ORD00490,4.0,Fast shipping and item was well packaged.,2025-11-11,False
REV0065,ORD00521,4.0,"Exceeded expectations, will be ordering more.",2025-07-26,False
REV0066,ORD00877,,"It's okay, does the job.",2025-08-22,True
REV0067,ORD00263,5.0,Fast shipping and item was well packaged.,2026-05-23,False
REV0068,ORD00758,5.0,"Fine for the price, packaging could be better.",2026-06-16,False
REV0069,ORD00461,,"Nice product, good value for the price.",2025-12-07,True
REV0070,ORD00484,1.0,"Delivery took way longer than promised, not happy.",2026-01-14,False
REV0071,ORD00008,5.0,"Nice product, good value for the price.",2026-05-08,False
REV0072,ORD00647,5.0,"Exceeded expectations, will be ordering more.",2026-06-05,False
REV0073,ORD00580,3.0,"Fine for the price, packaging could be better.",2026-06-10,False
REV0074,ORD00486,5.0,"Really happy with this purchase, exactly as described.",2026-02-24,False
REV0075,ORD00515,2.0,Package was late and support was slow to respond.,2026-02-14,False
REV0076,ORD00947,2.0,Not worth the money.,2025-12-16,False
