review_id,order_id,rating,review_text,review_date
REV0001,ORD00955,1.0,"Ordered this over a week late, wouldn't order again.",2026-07-03
REV0002,ORD00542,4.0,Fast shipping and item was well packaged.,2025-08-21
REV0003,ORD00209,3.0,"It's okay, does the job.",2025-04-14
REV0004,ORD00147,3.0,"Average product, nothing special.",2025-12-11
REV0005,ORD00914,5.0,"Exceeded expectations, will be ordering more.",2025-06-23
REV0006,ORD00016,4.0,"Exceeded expectations, will be ordering more.",2026-07-04
REV0007,ORD00067,4.0,"Nice product, good value for the price.",2026-04-09
REV0008,ORD00208,,"Item never arrived on time, very disappointing.",2026-03-09
REV0009,ORD00725,5.0,Fast shipping and item was well packaged.,2026-04-08
REV0010,ORD00377,3.0,"Fine for the price, packaging could be better.",2025-12-11
REV0011,ORD00977,4.0,"Nice product, good value for the price.",2026-07-02
REV0012,ORD00853,2.0,"Ordered this over a week late, wouldn't order again.",2025-10-27
REV0013,ORD00576,4.0,"Nice product, good value for the price.",2025-05-24
REV0014,ORD00243,5.0,"Great quality, arrived as expected, would buy again!",2026-07-03
REV0015,ORD00676,5.0,"Great quality, arrived as expected, would buy again!",2026-03-31
REV0016,ORD00816,4.0,"Nice product, good value for the price.",2026-02-04
REV0017,ORD00795,2.0,"Fine for the price, packaging could be better.",2025-12-31
REV0018,ORD00846,4.0,"Nice product, good value for the price.",2026-02-11
REV0019,ORD00354,5.0,"Really happy with this purchase, exactly as described.",2026-05-27
REV0020,ORD00070,5.0,"Exceeded expectations, will be ordering more.",2025-10-27
REV0021,ORD00609,5.0,Fast shipping and item was well packaged.,2026-01-14
REV0022,ORD00419,4.0,"Nice product, good value for the price.",2025-07-21
REV0023,ORD00393,,Package was late and support was slow to respond.,2026-06-18
REV0024,ORD00202,5.0,"Really happy with this purchase, exactly as described.",2025-12-13
REV0025,ORD00171,3.0,"Fine for the price, packaging could be better.",2026-06-03
REV0026,ORD00723,2.0,"Delivery took way longer than promised, not happy.",2026-07-04
REV0027,ORD00105,4.0,"Exceeded expectations, will be ordering more.",2026-01-02
REV0028,ORD00408,1.0,"Still waiting past the promised date, frustrating experience.",2026-05-14
REV0029,ORD00652,5.0,"Really happy with this purchase, exactly as described.",2026-04-06
REV0030,ORD00855,5.0,"Great quality, arrived as expected, would buy again!",2025-12-02
REV0031,ORD00789,2.0,"Not as described, quality was poor.",2025-10-21
REV0032,ORD00021,5.0,Fast shipping and item was well packaged.,2025-08-29
REV0033,ORD00972,4.0,"Really happy with this purchase, exactly as described.",2026-04-05
REV0034,ORD00726,5.0,"Nice product, good value for the price.",2026-07-06
REV0035,ORD00270,2.0,"Average product, nothing special.",2025-10-16
REV0036,ORD00463,3.0,"Average product, nothing special.",2026-07-12
REV0037,ORD00418,4.0,Fast shipping and item was well packaged.,2026-02-20
REV0038,ORD00443,1.0,"Ordered this over a week late, wouldn't order again.",2026-06-24
REV0039,ORD00513,5.0,"Great quality, arrived as expected, would buy again!",2025-04-18
REV0040,ORD00643,3.0,"Fine for the price, packaging could be better.",2026-06-30
REV0041,ORD00176,1.0,"Fine for the price, packaging could be better.",2025-08-20
REV0042,ORD00797,4.0,"Really happy with this purchase, exactly as described.",2026-06-16
REV0043,ORD00069,4.0,"Great quality, arrived as expected, would buy again!",2026-02-28
REV0044,ORD00583,2.0,"Item never arrived on time, very disappointing.",2026-04-08
REV0045,ORD00039,3.0,"It's okay, does the job.",2025-12-03
REV0046,ORD00953,1.0,"It's okay, does the job.",2026-04-13
REV0047,ORD00831,,"Exceeded expectations, will be ordering more.",2025-04-12
REV0048,ORD00307,5.0,Fast shipping and item was well packaged.,2026-01-14
REV0049,ORD00801,5.0,Fast shipping and item was well packaged.,2026-04-29
REV0050,ORD00237,5.0,"Nice product, good value for the price.",2026-06-26
REV0051,ORD00102,5.0,"Great quality, arrived as expected, would buy again!",2026-07-08
REV0052,ORD00663,5.0,"Exceeded expectations, will be ordering more.",2026-02-12
REV0053,ORD00988,5.0,"Really happy with this purchase, exactly as described.",2026-05-08
REV0054,ORD00498,,Package was late and support was slow to respond.,2026-03-11
REV0055,ORD00693,5.0,"Exceeded expectations, will be ordering more.",2026-02-02
REV0056,ORD00242,5.0,"Great quality, arrived as expected, would buy again!",2025-07-14
REV0057,ORD00802,5.0,"Great quality, arrived as expected, would buy again!",2026-03-28
REV0058,ORD00397,1.0,Item arrived damaged.,2025-11-21
REV0059,ORD00680,5.0,"Great quality, arrived as expected, would buy again!",2026-05-01
REV0060,ORD00570,5.0,Fast shipping and item was well packaged.,2025-10-26
REV0061,ORD00611,4.0,"Really happy with this purchase, exactly as described.",2026-01-17
REV0062,ORD00488,3.0,"Fine for the price, packaging could be better.",2026-06-13
REV0063,ORD00201,4.0,"Nice product, good value for the price.",2026-06-16
REV0064,ORD00490,4.0,Fast shipping and item was well packaged.,2025-11-11
REV0065,ORD00521,4.0,"Exceeded expectations, will be ordering more.",2025-07-26
REV0066,ORD00877,,"It's okay, does the job.",2025-08-22
REV0067,ORD00263,5.0,Fast shipping and item was well packaged.,2026-05-23
REV0068,ORD00758,5.0,"Fine for the price, packaging could be better.",2026-06-16
REV0069,ORD00461,,"Nice product, good value for the price.",2025-12-07
REV0070,ORD00484,1.0,"Delivery took way longer than promised, not happy.",2026-01-14
REV0071,ORD00008,5.0,"Nice product, good value for the price.",2026-05-08
REV0072,ORD00647,5.0,"Exceeded expectations, will be ordering more.",2026-06-05
REV0073,ORD00580,3.0,"Fine for the price, packaging could be better.",2026-06-10
REV0074,ORD00486,5.0,"Really happy with this purchase, exactly as described.",2026-02-24
REV0075,ORD00515,2.0,Package was late and support was slow to respond.,2026-02-14
REV0076,ORD00947,2.0,Not worth the money.,2025-12-16
REV0077,ORD00715,4.0,"Nice product, good value for the price.",2026-04-07
REV0078,ORD00247,1.0,"Still waiting past the promised date, frustrating experience.",2025-11-09
REV0079,ORD00702,1.0,"Ordered this over a week late, wouldn't order again.",2026-05-08
REV0080,ORD00451,5.0,"Exceeded expectations, will be ordering more.",2025-12-15
REV0081,ORD00915,4.0,"Nice product, good value for the price.",2026-03-25
REV0082,ORD00613,1.0,"Not as described, quality was poor.",2026-06-22
REV0083,ORD00943,,"Average product, nothing special.",2026-06-07
REV0084,ORD00805,5.0,"Great quality, arrived as expected, would buy again!",2025-10-26
REV0085,ORD00431,2.0,"Delivery took way longer than promised, not happy.",2026-05-30
REV0086,ORD00629,4.0,"Really happy with this purchase, exactly as described.",2026-04-01
REV0087,ORD00206,4.0,Fast shipping and item was well packaged.,2026-03-14
REV0088,ORD00285,4.0,Fast shipping and item was well packaged.,2026-01-14
REV0089,ORD00167,4.0,"Great quality, arrived as expected, would buy again!",2025-05-21
REV0090,ORD00392,4.0,"Great quality, arrived as expected, would buy again!",2026-04-01
REV0091,ORD00215,5.0,"Nice product, good value for the price.",2026-05-25
REV0092,ORD00669,4.0,"Really happy with this purchase, exactly as described.",2026-06-21
REV0093,ORD00743,3.0,"Average product, nothing special.",2026-06-09
REV0094,ORD00288,5.0,"Great quality, arrived as expected, would buy again!",2026-04-25
REV0095,ORD00141,4.0,"Really happy with this purchase, exactly as described.",2025-09-20
REV0096,ORD00510,1.0,"Item never arrived on time, very disappointing.",2026-05-06
REV0097,ORD00689,1.0,"It's okay, does the job.",2026-01-12
REV0098,ORD00072,1.0,"Delivery took way longer than promised, not happy.",2026-04-15
REV0099,ORD00292,4.0,"Great quality, arrived as expected, would buy again!",2026-01-14
REV0100,ORD00650,3.0,"Average product, nothing special.",2026-03-03
REV0101,ORD00409,1.0,"Still waiting past the promised date, frustrating experience.",2025-10-19
REV0102,ORD00310,4.0,"It's okay, does the job.",2025-11-22
REV0103,ORD00623,1.0,"It's okay, does the job.",2026-06-19
REV0104,ORD00682,4.0,"Nice product, good value for the price.",2026-04-12
REV0105,ORD00990,2.0,"Ordered this over a week late, wouldn't order again.",2025-11-03
REV0106,ORD00179,5.0,"Nice product, good value for the price.",2026-02-03
REV0107,ORD00279,5.0,"Nice product, good value for the price.",2026-06-21
REV0108,ORD00326,2.0,"Fine for the price, packaging could be better.",2026-01-20
REV0109,ORD00848,5.0,"Great quality, arrived as expected, would buy again!",2025-08-01
REV0110,ORD00146,2.0,"Average product, nothing special.",2026-06-16
REV0111,ORD00927,3.0,"Fine for the price, packaging could be better.",2026-06-11
REV0112,ORD00145,5.0,Fast shipping and item was well packaged.,2026-06-28
REV0113,ORD00080,4.0,"Exceeded expectations, will be ordering more.",2025-09-19
REV0114,ORD00190,5.0,Fast shipping and item was well packaged.,2025-06-07
REV0115,ORD00357,4.0,"Great quality, arrived as expected, would buy again!",2026-05-12
REV0116,ORD00538,3.0,"Wrong item sent, had to return it.",2026-06-01
REV0117,ORD00366,2.0,"Item never arrived on time, very disappointing.",2026-07-04
REV0118,ORD00876,3.0,"Average product, nothing special.",2026-06-30
REV0119,ORD00829,4.0,"Nice product, good value for the price.",2026-06-27
REV0120,ORD00442,2.0,"Item never arrived on time, very disappointing.",2026-05-07
REV0121,ORD00610,4.0,"Nice product, good value for the price.",2026-06-16
REV0122,ORD00076,3.0,"Average product, nothing special.",2026-04-20
REV0123,ORD00341,4.0,"Exceeded expectations, will be ordering more.",2026-05-29
REV0124,ORD00186,4.0,"Nice product, good value for the price.",2026-03-02
REV0125,ORD00678,4.0,"Fine for the price, packaging could be better.",2026-07-01
REV0126,ORD00141,,Fast shipping and item was well packaged.,2025-09-15
REV0127,ORD00677,4.0,"Exceeded expectations, will be ordering more.",2025-12-03
REV0128,ORD00086,5.0,"Nice product, good value for the price.",2025-09-08
REV0129,ORD00150,3.0,"Average product, nothing special.",2026-01-02
REV0130,ORD00752,3.0,"Fine for the price, packaging could be better.",2026-04-27
REV0131,ORD00553,5.0,Fast shipping and item was well packaged.,2026-04-04
REV0132,ORD00704,4.0,"Great quality, arrived as expected, would buy again!",2025-11-29
REV0133,ORD00973,1.0,"Item never arrived on time, very disappointing.",2026-05-09
REV0134,ORD00909,5.0,"Really happy with this purchase, exactly as described.",2026-06-23
REV0135,ORD00900,,Not worth the money.,2026-04-10
REV0136,ORD00362,4.0,Fast shipping and item was well packaged.,2026-06-26
REV0137,ORD00517,3.0,"It's okay, does the job.",2026-01-12
REV0138,ORD00893,4.0,Fast shipping and item was well packaged.,2025-11-09
REV0139,ORD00477,,"Great quality, arrived as expected, would buy again!",2026-06-17
REV0140,ORD00992,2.0,"Average product, nothing special.",2026-05-27
REV0141,ORD00113,5.0,"Really happy with this purchase, exactly as described.",2026-06-20
REV0142,ORD00926,2.0,"Ordered this over a week late, wouldn't order again.",2025-11-18
REV0143,ORD00400,5.0,"Nice product, good value for the price.",2026-06-01
REV0144,ORD00364,,"Average product, nothing special.",2026-01-27
REV0145,ORD00903,4.0,"Great quality, arrived as expected, would buy again!",2026-04-20
REV0146,ORD00132,1.0,"Item never arrived on time, very disappointing.",2026-01-12
REV0147,ORD00952,5.0,"Great quality, arrived as expected, would buy again!",2026-06-11
REV0148,ORD00732,5.0,"Really happy with this purchase, exactly as described.",2025-12-24
REV0149,ORD00262,4.0,Fast shipping and item was well packaged.,2025-11-27
REV0150,ORD00762,4.0,"Average product, nothing special.",2026-07-04
REV0151,ORD00165,2.0,"Delivery took way longer than promised, not happy.",2026-03-30
REV0152,ORD00577,3.0,"It's okay, does the job.",2026-05-09
